gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000164733,CTSB,-4.70370352343,-0.145319547893,2.55484168313e-06,0.0638945990664,0.0516684690719,0.0259331870875,0.0301165628146,23,26,26
ENSG00000145217,SLC26A1,4.60736435446,0.0631220810408,4.07805062577e-06,0.325736894328,0.450762212184,7.08982616826e-14,2.44745166547e-12,23,30,30
ENSG00000103549,RNF40,-4.50993394155,-0.105164580334,6.48478157588e-06,0.123217757486,0.165689526449,3.85982317256e-05,0.000147406011904,16,18,18
ENSG00000187010,RHD,-4.47304580331,-0.13146889723,7.71132514075e-06,0.128791450292,0.406225545819,2.90847552925e-12,6.91962257976e-11,7,11,11
ENSG00000129214,SHBG,-4.39534086459,-0.170194623527,1.1059906362e-05,0.041554425009,0.056639207168,0.0195473433128,0.0242951662071,12,13,13
ENSG00000178226,PRSS36,-4.38435689026,-0.122077220028,1.16328926567e-05,0.0932572658825,0.241112156933,3.7862810458e-07,2.46430404933e-06,9,10,10
ENSG00000188672,RHCE,4.36248366947,0.165813271591,1.28594187623e-05,0.0647997602002,0.131068090825,0.000289540707677,0.00079450252507,11,16,16
ENSG00000161714,PLCD3,-4.27839769677,-0.101936061557,1.88243471365e-05,0.139747308858,0.246116812972,2.748068747e-07,1.86081396982e-06,24,35,35
ENSG00000168792,ABHD15,4.27030590674,0.173938901037,1.95205037329e-05,0.0389516148118,0.057200052808,0.0189352872951,0.023701775218,9,9,9
ENSG00000091536,MYO15A,4.24609184274,0.129782267596,2.17531492504e-05,0.0778627168535,0.114812010129,0.0007330202279,0.00172989071319,15,21,21
ENSG00000102547,CAB39L,4.22033934287,0.0984573783414,2.43934847627e-05,0.141235756408,0.252968049654,1.76665202985e-07,1.26950274746e-06,30,33,33
ENSG00000155066,PROM2,4.21360535227,0.161532650289,2.51326274245e-05,0.049954456849,0.118182433432,0.000605064981504,0.00146325276025,9,15,15
ENSG00000162877,PM20D1,-4.13916832211,-0.0905506520217,3.48567144147e-05,0.111437066753,0.193056657682,7.51237576046e-06,3.55535585387e-05,29,33,33
ENSG00000111879,FAM184A,-4.10682534068,-0.171911973591,4.01134316667e-05,0.0363629494388,0.044004946514,0.040236546126,0.0419431543532,16,18,18
ENSG00000164048,ZNF589,4.09623653344,0.0800763204612,4.19920890304e-05,0.153069562991,0.20757092322,3.09692321317e-06,1.59657175568e-05,24,25,25
ENSG00000180336,C17orf104,4.04557102243,0.124015810954,5.21957376942e-05,0.100067722265,0.0515301334305,0.0261385671003,0.0302951226458,30,35,35
ENSG00000171103,TRMT61B,-4.04171668272,-0.1979511506,5.30613183978e-05,0.0291010901573,0.0401310465829,0.0503505805176,0.0497024655168,8,8,8
ENSG00000103932,RPAP1,-3.98668610765,-0.0539443505147,6.70025745269e-05,0.381229325692,0.308344844861,4.3140987624e-09,4.76187628926e-08,60,62,62
ENSG00000120913,PDLIM2,-3.97142926102,-0.0797089856889,7.1442715451e-05,0.194503266935,0.155582522776,6.99189736776e-05,0.000243995932717,37,42,42
ENSG00000186868,MAPT,3.91875004768,7.58158364409,8.90093592221e-05,1.57521228647e-05,0.0911975605604,0.00278735567896,0.00528517284349,1,10,10
ENSG00000013306,SLC25A39,-3.87513114641,-0.0682664088065,0.000106567289896,0.228173036755,0.107708376318,0.00109704599772,0.00244327120024,53,60,60
ENSG00000213672,NCKIPSD,3.87210910556,0.108359964486,0.000107897630755,0.0977027331592,0.137619817798,0.000198563041008,0.000578296845075,22,23,23
ENSG00000166582,CENPV,3.86779980661,0.056824486756,0.000109821765203,0.283237450616,0.389507904555,1.0942014417e-11,2.34926572764e-10,39,51,51
ENSG00000152128,TMEM163,3.85613658031,0.102074367194,0.000115193143117,0.115474990845,0.105061455222,0.00127444078366,0.00276660730609,26,27,27
ENSG00000163486,SRGAP2,-3.85534177771,-0.056724822457,0.000115568056778,0.396012915671,0.196801757938,5.98445503531e-06,2.87867234466e-05,89,102,102
ENSG00000233232,NPIPB7,3.84216437387,0.301030098022,0.000121954115406,0.0242111154375,0.0800663938787,0.00521500391521,0.00876913325986,13,19,19
ENSG00000137802,MAPKBP1,-3.71789067669,-0.0533587530791,0.000200893166526,0.286512397381,0.304532393747,5.61860799679e-09,5.97425588798e-08,49,51,51
ENSG00000153574,RPIA,3.67840774024,0.1456464382,0.000234694555997,0.0462073199837,0.0403287577479,0.0497754448013,0.0493008325097,18,32,32
ENSG00000039139,DNAH5,3.58407786698,0.243914262697,0.000338271166707,0.0159713444049,0.0402251066154,0.0500761067991,0.049542883221,7,8,8
ENSG00000170175,CHRNB1,3.56498872682,0.272619219905,0.000363871827998,0.0127336203125,0.057473577907,0.0186438768487,0.0234119142441,2,3,3
ENSG00000197165,SULT1A2,-3.56369830075,-0.296203757487,0.000365666217487,0.0250743565948,0.147043884623,0.000115047386303,0.000370286725351,8,13,13
ENSG00000187688,TRPV2,-3.54539221299,-0.0689306303597,0.000392029284466,0.208472549798,0.247351328149,2.53844931227e-07,1.77344068614e-06,23,31,31
ENSG00000196118,C16orf93,3.52108915559,0.0743565543536,0.000429778089169,0.17096056608,0.133770200029,0.000247880018879,0.000697690676309,35,41,41
ENSG00000066923,STAG3,3.49993188375,0.128640741139,0.000465377059989,0.0495079103029,0.109164535676,0.00101013660223,0.00228585787221,18,21,21
ENSG00000134490,TMEM241,3.47103395108,0.0786995085695,0.000518458443537,0.138974090621,0.192912887293,7.57810941339e-06,3.58165134285e-05,19,19,19
ENSG00000118804,FAM47E-STBD1,3.46715851453,0.134122377588,0.000525991605051,0.0495856722894,0.0828109160322,0.00446893391005,0.0077427707052,19,19,19
ENSG00000069275,NUCKS1,-3.43910450834,-0.144179822566,0.000583641875946,0.0424884510778,0.0426589430631,0.0434881917642,0.0445738283845,16,20,20
ENSG00000204713,TRIM27,3.41814239536,0.321441656946,0.00063050111106,0.0121045172631,0.0597027097976,0.0164322135001,0.0212328489777,8,39,39
