gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000058063,ATP11B,-4.54489523898,-0.120446752891,5.49625833242e-06,0.221527299096,0.067636567991,0.0190396047818,0.033508541305,60,72,72
ENSG00000187987,ZSCAN23,4.47084618959,0.0886135853825,7.79107175634e-06,0.15143988329,0.143817536242,0.000480441915583,0.00227989421522,32,46,46
ENSG00000180336,C17orf104,4.26983745613,0.0564769966266,1.95615474872e-05,0.489264911715,0.143744123736,0.00048217887449,0.00228056071222,83,93,93
ENSG00000126522,ASL,4.05144249727,0.259567500848,5.09028368717e-05,0.0297107377207,0.086784068289,0.00759339132475,0.0175033142469,7,14,14
ENSG00000108379,WNT3,-4.0323016938,-0.0620193497971,5.5233217219e-05,0.324591231783,0.390547023615,4.49828079463e-10,2.19792575529e-08,32,42,42
ENSG00000005421,PON1,-3.92800495951,-0.122849438298,8.56534451187e-05,0.0588025665415,0.069052745694,0.0177849300708,0.0319515354966,22,23,23
ENSG00000120071,KANSL1,3.84078213913,0.145970626125,0.000122642924035,0.0638765029453,0.0937599782371,0.00543417233219,0.0139458479058,27,32,32
ENSG00000196331,HIST1H2BO,-3.83014957367,-0.194382237892,0.000128065390865,0.0254852470887,0.0788482948132,0.0111098633476,0.022958350857,4,6,6
ENSG00000260903,XKR7,3.63924050331,2.30673751895,0.000273443330838,0.000137357854528,0.0711021002684,0.0161155231604,0.0296995183881,1,1,1
ENSG00000103932,RPAP1,-3.61220846645,-0.104565842913,0.000303600340372,0.0728436988221,0.116205484068,0.00184469516741,0.00634867673441,9,9,9
ENSG00000171103,TRMT61B,-3.60717817836,-0.126796028648,0.000309545104934,0.0538216812364,0.065864503623,0.020736494559,0.0357328878444,19,20,20
ENSG00000164048,ZNF589,3.60701527595,0.0964571000209,0.000309739431838,0.0672697066087,0.168248994544,0.000142928789098,0.000864433107456,13,13,13
ENSG00000168795,ZBTB5,-3.55828213692,-2.15783522993,0.000373288229046,0.000160898063696,0.0716604450362,0.0156887328878,0.0292762091498,1,1,1
ENSG00000188672,RHCE,3.52199016725,0.0941812789234,0.000428320029686,0.163304668941,0.22354833941,8.30989873689e-06,9.21151308095e-05,22,25,25
ENSG00000183828,NUDT14,3.48082459478,0.0897868888896,0.000499872729223,0.0975044897045,0.15630247441,0.000259329537796,0.00139163691407,18,23,23
ENSG00000196510,ANAPC7,3.46024169601,1.62787507328,0.000539690738112,0.000272401239904,0.0746063469124,0.0136183612294,0.0264494722196,5,8,8
ENSG00000232629,HLA-DQB2,-3.38860106468,-143.351640258,0.000702501351136,8.66309738685e-08,0.313747894161,5.41409808838e-08,1.35845248617e-06,1,26,26
ENSG00000166582,CENPV,3.38090538093,0.0568976338527,0.000722474167352,0.200806841491,0.421152140845,5.67205356245e-11,3.34887311475e-09,7,7,7
ENSG00000072786,STK10,-3.36199142296,-0.0488418016741,0.000773825271795,0.441817607996,0.205304064243,2.16138341641e-05,0.000198178638457,83,89,89
ENSG00000161692,DBF4B,-3.34818532716,-0.0436064513591,0.000813425964046,0.391411790907,0.341579351361,1.0141373275e-08,3.21877748657e-07,52,55,55
ENSG00000146834,MEPCE,3.30873440034,0.073430858759,0.000937186976349,0.152091649708,0.248627854271,2.16426480257e-06,3.0442934855e-05,30,32,32
ENSG00000085514,PILRA,-3.28028658606,-0.0550013687634,0.00103701688211,0.269141978279,0.55940565793,1.03109449545e-15,2.9453381634e-13,28,30,30
ENSG00000105185,PDCD5,-3.273519745,-0.0994088458798,0.00106216969407,0.108859518585,0.090761569042,0.00627480883205,0.0154109267654,30,31,31
ENSG00000048828,FAM120A,-3.22950816154,-1.10116768492,0.00124003341945,0.000583741926685,0.159466053036,0.000221607195033,0.00122460106366,1,1,1
ENSG00000162511,LAPTM5,3.22550775388,0.113269687502,0.00125749429453,0.0652627863347,0.0619575515729,0.0250397031125,0.0409676237201,16,18,18
ENSG00000164346,NSA2,3.21545086355,0.0620374338819,0.00130239789298,0.175179293516,0.431797897638,2.69263635659e-11,1.78554058907e-09,41,46,46
ENSG00000047849,MAP4,3.18642723517,0.0850551223977,0.0014404171592,0.0597040972827,0.103388656816,0.00342198999137,0.00985074491843,20,24,24
ENSG00000160796,NBEAL2,-3.13552743863,-0.0561557213627,0.00171545379992,0.245698475055,0.0866918267802,0.00762704983262,0.0175482212813,52,56,56
ENSG00000108556,CHRNE,3.10505781338,0.163340833116,0.00190241836186,0.0251500864417,0.0599004664699,0.0276595216332,0.0441965724113,7,8,8
ENSG00000100151,PICK1,3.06304719189,0.0806484246526,0.00219095505159,0.11640881874,0.196094375855,3.47819406735e-05,0.000283871937511,19,21,21
ENSG00000124613,ZNF391,3.05281794637,0.0747118710131,0.00226703428652,0.145230351318,0.294254425081,1.6863601535e-07,3.51811780776e-06,42,43,43
ENSG00000240053,LY6G5B,3.02058422037,0.19841431655,0.00252287534118,0.0173178632881,0.167017134386,0.000152026182443,0.000903271736431,5,17,17
ENSG00000173226,IQCB1,-3.00852765756,-0.0417382427425,0.00262516906269,0.276236009639,0.258499836344,1.26089811609e-06,1.93483831275e-05,42,43,43
ENSG00000146833,TRIM4,2.97435954439,0.104625648538,0.00293600833491,0.0522716948031,0.0881629081882,0.00710759309192,0.0167043179713,32,33,33
ENSG00000143036,SLC44A3,2.96906215638,0.0737637888496,0.00298710168045,0.166706540267,0.123633552788,0.00128729474143,0.00483544125861,44,45,45
ENSG00000066923,STAG3,2.96757774509,0.0843686152972,0.00300156363293,0.0829102151493,0.0581492394932,0.0301090026089,0.0466064656534,23,25,25
ENSG00000258839,MC1R,-2.92405820928,-0.0655058143241,0.00345500131502,0.171582766777,0.141004720235,0.000551611898021,0.00255092757522,24,35,35
ENSG00000187837,HIST1H1C,2.91138374384,0.118477603418,0.00359831785346,0.0431815692018,0.121989493528,0.00139415992283,0.00515654639961,14,19,19
ENSG00000148690,FRA10AC1,2.87460182844,0.0630989943525,0.0040453729962,0.176326367204,0.198545700352,3.06579290653e-05,0.000256991723782,28,30,30
ENSG00000180535,BHLHA15,-2.85947433262,-0.0715209840855,0.00424343756704,0.109790222532,0.214436338831,1.34253910079e-05,0.000133658985369,20,25,25
ENSG00000177427,MIEF2,-2.84453579625,-0.0984446837053,0.00444761880522,0.0876105911044,0.0699240451957,0.0170548291476,0.0309811595193,17,25,25
ENSG00000137804,NUSAP1,2.84404513099,0.0567723310886,0.00445447379451,0.181386400096,0.367417261755,2.01609381462e-09,7.88074328399e-08,21,22,22
ENSG00000187688,TRPV2,-2.82190192124,-0.0989348881506,0.00477397749211,0.0536678106438,0.102866844853,0.00350894895891,0.0100620699288,7,10,10
ENSG00000137806,NDUFAF1,-2.80851401927,-0.112671670625,0.00497707153731,0.0479346508615,0.104962019613,0.00317253975171,0.00932789761551,13,13,13
ENSG00000187010,RHD,-2.80722991298,-0.162288723434,0.00499695632273,0.0364483545748,0.31665940271,4.55747899203e-08,1.17580058242e-06,9,24,24
ENSG00000176927,EFCAB5,-2.80275085872,-0.0767477789823,0.00506687942198,0.211033044691,0.22172923679,9.14847725615e-06,9.8119561892e-05,37,48,48
ENSG00000113597,TRAPPC13,2.78294563293,0.85502838861,0.00538678319067,0.000652955376238,0.0588526007881,0.0290996675404,0.0456337730124,1,1,1
ENSG00000196735,HLA-DQA1,2.78228749746,0.980756914798,0.00539772008746,0.00120213626662,0.444969367676,1.05112068236e-11,9.5019367316e-10,10,60,60
ENSG00000204428,LY6G5C,2.77669871197,0.093891853545,0.00549140561455,0.0585464324718,0.201154493479,2.67956501496e-05,0.000233566125588,15,53,53
